SITE,STATION,USE,CAUSE,11-DIG HUC,BASIN,priority
ALLISON CK AT US 321 3.1 MI S OF CLOVER,CW-171,REC,FC,03050101200,CATAWBA,2
CATAWBA RVR AT UNIMP RD AB JCT WITH ROCKY CK,CW-174,AL,DO,03050103010,CATAWBA,2
ROCKY CK AT S-12-141 SE OF GREAT FALLS,CW-175,REC,FC,03050103090,CATAWBA,2
SIXMILE CREEK AT S-29-54,CW-176,REC,FC,03050103038,CATAWBA,2
CANE CK AT SC 200 5 MI NNE OF LANCASTER,CW-185,REC,FC,03050103042,CATAWBA,2
SOUTH FORK CROWDERS CK AT S-46-79 4.5 MI NW OF CLOVER,CW-192,REC,FC,03050101190,CATAWBA,2
LK WYLIE AB MILL CK ARM AT END OF S-46-557,CW-197,AL,CU,03050101190,CATAWBA,2
,CW-207,AL,SED,,CATAWBA,1
,CW-207,AL,TP,,CATAWBA,1
,CW-207,AL,CU,,CATAWBA,1
,CW-208,AL,CU,,CATAWBA,1
,CW-208,AL,TP,,CATAWBA,1
LK WATEREE ,CW-209,AL,TP,03050104010,CATAWBA,2
TOOLS FORK AT S-46-195 7 MI NW OF ROCK HILL,CW-212,REC,FC,03050103060,CATAWBA,2
WATEREE RVR AT I-20,CW-214,AL,DO,03050104030,CATAWBA,2
UNNAMED TRIB TO CATAWBA RVR AT HWY 161 0.4 MI W OF I-77,CW-221,REC,FC,03050103010,CATAWBA,3
LITTLE PINE TREE CREEK AT S-28-132,CW-223,REC,FC,03050104070,CATAWBA,2
FISHING CREEK AT S-46-163,CW-224,REC,FC,03050103060,CATAWBA,2
FISHING CREEK AT S-46-503,CW-225,REC,FC,03050103050,CATAWBA,2
SAWNEYS CK AT S-20-151,CW-228,REC,FC,03050104050,CATAWBA,2
BEAR CK AT S-40-82,CW-229,REC,FC,03050104060,CATAWBA,2
,CW-232,AL,CR,,CATAWBA,1
,CW-232,REC,FC,,CATAWBA,1
,CW-232,AL,DO,,CATAWBA,1
FISHING CREEK AT S-12-77,CW-233,REC,FC,03050103060,CATAWBA,2
TINKERS CK AT S-12-599,CW-234,REC,FC,03050103070,CATAWBA,2
CAMP CK AT SC 97,CW-235,REC,FC,03050103080,CATAWBA,2
ROCKY CK AT S-12-138,CW-236,REC,FC,03050103090,CATAWBA,2
UNNAMED TRIB TO HALFWAY SWAMP CK AT S-09-158,CW-242,REC,FC,03050111020,CATAWBA,2
BIG BRANCH AT S-14-41,CW-243,REC,FC,03050111030,CATAWBA,2
JACKS CK AT S-14-76,CW-244,REC,FC,03050111030,CATAWBA,2
SUGAR CK US OF CONFLUENCE W/ MCALPINE CK,CW-246,REC,FC,03050103028,CATAWBA,3
SUGAR CK US OF CONFLUENCE W/ MCALPINE CK,CW-246,AL,BIO,03050103028,CATAWBA,2
UNNAMED CK ADJACENT TO WTR PLT AT JOHNSTON AT S-19-41,E-001,REC,FC,03050204010,EDISTO,2
EDISTO RVR AT US 15 S OF ST GEORGE,E-014,REC,FC,03050205030,EDISTO,2
POLK SWP AT UNIMP RD S-18-180 2 MI S OF ST GEORGE,E-016,REC,FC,03050205040,EDISTO,2
GRAMLING CK AT CLVT ON SC 33 2 MI E OF ORANGEBURG,E-022,REC,FC,03050206010,EDISTO,3
DEAN SWAMP AT US 176,E-030,REC,FC,03050206060,EDISTO,2
BULL SWP CK AT CLVT ON UNIMP RD 1.1 MI NW OF SWANSEA,E-034,REC,FC,03050203050,EDISTO,2
ROBERTS SWAMP AT SC 332,E-039,REC,FC,03050204070,EDISTO,2
COW CASTLE CK AT S-38-170,E-050,REC,FC,03050206030,EDISTO,3
PROVIDENCE SWP AT E FRONTAGE RD TO I-95 NW OF HOLLY HILL,E-051,REC,FC,03050206050,EDISTO,2
HORSE RANGE SWAMP AT US 176,E-052,REC,FC,03050206055,EDISTO,2
FOUR HOLE SWP AT S-38-50 5.2 MI SE OF CAMERON,E-059,REC,FC,03050206010,EDISTO,2
LITTLE BULL CREEK AT SC 33,E-076,REC,FC,03050206010,EDISTO,2
CHINQUAPIN CREEK AT SC 391 5.5 MI S BATESBURG,E-091,REC,FC,03050203010,EDISTO,3
LIGHTWOOD KNOT CK OFF S-32-77 AT BATESBURG WATER INTAKE,E-101,REC,FC,03050203010,EDISTO,2
CAW CAW SWAMP AT S-38-1032 ,E-105,REC,FC,03050203070,EDISTO,2
CATTLE CK AT S-18-19,E-108,REC,FC,03050205020,EDISTO,2
POLK SWAMP AT S-18-19,E-109,REC,FC,03050205040,EDISTO,2
BEAUFORT RVR AB BEAUFORT AT CHANNEL MARKER 231,MD-001,AL,DO,03050208100,SALKEHATCHIE,2
BEAUFORT RVR AT DRAWBRDG ON US 21,MD-002,AL,DO,03050208100,SALKEHATCHIE,2
,MD-002,AL,DO,,SALKEHATCHIE,1
,MD-003,AL,CU,,SALKEHATCHIE,1
BEAUFORT RVR AT JCT WITH BATTERY CK NR MARKER 42,MD-004,AL,DO,03050208100,SALKEHATCHIE,2
POCOTALIGO RVR AT US 17 AT POCOTALIGO,MD-007,REC,FC,03050208090,SALKEHATCHIE,2
MOUTH OF SKULL CK BTWN CHAN MARKERS 3 & 4 NEAR REDBO,MD-013,AL,DO,03050208110,SALKEHATCHIE,2
MOUTH OF ELLIOTT CUT AT EDGE WTR DR (S-10-26 OFF HW 17),MD-025,REC,FC,03050202050,SANTEE,2
STONO RVR AT SC 700,MD-026,AL,CU,03050202070,SANTEE,2
GOOSE CK AT S-08-136 BRIDGE,MD-039,REC,FC,03050201070,SANTEE,2
COOPER RVR AB MOUTH OF SHIPYD CK AT CHANNEL BUOY 49,MD-045,REC,FC,03050201050,SANTEE,3
TOWN CK (W SIDE OF DRUM ISL) UNDER GRACE MEMORIAL BRDG,MD-047,REC,FC,03050201050,SANTEE,3
ASHLEY RVR AT MAGNOLIA GARDENS,MD-049,AL,DO,03050202040,SANTEE,2
ASHLEY RVR AT MAGNOLIA GARDENS,MD-049,REC,FC,03050202040,SANTEE,3
ASHLEY RVR AT SALRR BRDG,MD-052,REC,FC,03050202040,SANTEE,2
SHEM CK AT BRDG ON US 17,MD-071,REC,FC,03050202070,SANTEE,2
TURKEY CK S-22-42 SW OF GEORGETOWN,MD-076N,REC,FC,03040207040,PEE DEE,2
WINYAH BAY AT JCT OF PEE DEE & WACCAMAW AT MARKER 92,MD-080,AL,ZN,03040207050,PEE DEE,2
,MD-085,AL,PH,,PEE DEE,1
,MD-085,AL,DO,,PEE DEE,1
,MD-085,REC,FC,,PEE DEE,1
,MD-087,AL,ZN,,PEE DEE,1
,MD-087,AL,PH,,PEE DEE,1
,MD-087,AL,DO,,PEE DEE,1
,MD-087,REC,FC,,PEE DEE,1
,MD-088,REC,FC,,PEE DEE,1
,MD-088,AL,PH,,PEE DEE,1
,MD-088,AL,DO,,PEE DEE,1
,MD-089,AL,PH,,PEE DEE,1
,MD-089,AL,DO,,PEE DEE,1
,MD-089,REC,FC,,PEE DEE,1
,MD-091,AL,DO,,PEE DEE,1
,MD-091,REC,FC,,PEE DEE,1
KINGSTON LK NR PUMP STA ON LAKESIDE DR CONWAY,MD-107,REC,FC,03040206120,PEE DEE,3
KINGSTON LK NR PUMP STA ON LAKESIDE DR CONWAY,MD-107,AL,DO,03040206120,PEE DEE,2
WACCAMAW RVR AT US 501 BY PASS AROUND CONWAY,MD-110,AL,DO,03040206140,PEE DEE,2
WACCAMAW RVR AT COX'S FERRY ON S-26-110,MD-111,AL,DO,03040206140,PEE DEE,2
GOOSE CK RESERVOIR AT CHTN WTR INTAKE,MD-113,AL,DO,03050201070,SANTEE,2
,MD-114,AL,PH,,SANTEE,1
,MD-114,AL,DO,,SANTEE,1
,MD-114,REC,FC,,SANTEE,1
WANDO RVR AT SC 41,MD-115,AL,CU,03050201080,SANTEE,2
NEW RVR AT SC 170 9 MI W OF BLUFFTON,MD-118,REC,FC,03050208130,SALKEHATCHIE,2
LOG BRIDGE CK AT SC 162,MD-121,REC,FC,03050202050,SANTEE,2
,MD-125,REC,FC,,SANTEE,1
,MD-125,AL,DO,,SANTEE,1
,MD-127,AL,DO,,SANTEE,1
,MD-127,AL,PH,,SANTEE,1
,MD-128,AL,DO,,SANTEE,1
,MD-128,REC,FC,,SANTEE,1
GREAT SWAMP AT U.S. 17,MD-129,REC,FC,03050208120,SALKEHATCHIE,2
ASHLEY RVR AT SC 7 (N BRDG),MD-135,AL,DO,03050202040,SANTEE,2
WACCAMAW RVR 1/4 MI UPSTRM OF JCT WITH ICWW,MD-136,AL,DO,03040206140,PEE DEE,2
WACCAMAW RVR NR MOUTH OF BULL CK AT MARKER 50,MD-137,AL,DO,03040206140,PEE DEE,2
WACCAMAW RVR & ICWW 1 MI BL JCT-AT BUCKSPORT LANDING,MD-146,AL,DO,03040206140,PEE DEE,2
,MD-158,AL,DO,,PEE DEE,1
,MD-158,REC,FC,,PEE DEE,1
,MD-162,AL,PH,,PEE DEE,1
,MD-162,REC,FC,,PEE DEE,1
"COOSAW RVR AT CONFL OF COMBAHEE RVR, NEAR BUOY 186",MD-168,AL,ZN,03050208100,SALKEHATCHIE,2
BROAD CK OPPOSITE END OF S-O7-80,MD-174,AL,DO,03050208110,SALKEHATCHIE,2
JEREMY CK NEAR BOAT LANDING AT MCCLELLANVILLE TOWN HL,MD-203,REC,FC,03050202060,SANTEE,2
BOHICKET CK MOUTH @ N EDISTO RVR,MD-210,AL,DO,03050205070,EDISTO,2
FOSTER CREEK AT CHARLESTON CPW WATER INTAKE,MD-240,REC,FC,03050201060,SANTEE,2
MECHAW CK AT SC RT 45,MD-241,REC,FC,03050112050,SANTEE,2
,MD-242,AL,DO,,SANTEE,1
,MD-242,REC,FC,,SANTEE,1
,MD-243,AL,SED,,SANTEE,1
,MD-243,AL,TIS,,SANTEE,1
CHURCH CK MOUTH,MD-246,REC,FC,03050202040,SANTEE,3
COOPER RIVER AT MARK CLARK BRIDGE (I-526),MD-248,REC,FC,03050201050,SANTEE,3
"FILBIN CREEK AT VIRGINIA AVE, NORTH CHARLESTON",MD-249,REC,FC,03050201050,SANTEE,2
AWENDAW CREEK AT US 17,MD-250,REC,FC,03050202060,SANTEE,2
TODD'S BR AT S-29-564 1.5 MI NE OF KERSHAW,PD-005,REC,FC,03040202070,PEE DEE,2
